
================ Toxicity Prediction Run ================
inputFile               : combinedEbolaVirusData_InosineSimilarstructures_DORAnetGenerated_ARTprediction.csv
ARTresultsDir           : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB/
Input CSV               : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB/combinedEbolaVirusData_InosineSimilarstructures_DORAnetGenerated_ARTprediction.csv
Output CSV              : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB/combinedEbolaVirusData_InosineSimilarstructures_DORAnetGenerated_ARTprediction_wToxicity.csv
Checkpoint CSV          : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB/combinedEbolaVirusData_InosineSimilarstructures_DORAnetGenerated_ARTprediction_wToxicity_checkpoint.csv
selectSMILES            : None
batchSize               : 500
saveEveryBatch          : True
resumeFromCheckpoint    : True
deduplicateSmiles       : True
enableDiversityFilter   : True
similarityThreshold     : 0.75
fingerprintRadius       : 2
fingerprintBits         : 2048
diversityChunkSize      : 1000
saveDiversityFiltered   : True
useCanonicalFiltering   : True
=========================================================

Loaded input dataframe shape: (1989633, 8)

Applying chemical diversity filter before ADMET prediction...
Diversity chunk 227 | processed unique SMILES: 227000/1989633 | new selected: 216 | total selected: 53163
Diversity chunk 228 | processed unique SMILES: 228000/1989633 | new selected: 182 | total selected: 53345
Diversity chunk 229 | processed unique SMILES: 229000/1989633 | new selected: 315 | total selected: 53660
Diversity chunk 230 | processed unique SMILES: 230000/1989633 | new selected: 250 | total selected: 53910
Diversity chunk 231 | processed unique SMILES: 231000/1989633 | new selected: 125 | total selected: 54035
Diversity chunk 232 | processed unique SMILES: 232000/1989633 | new selected: 10 | total selected: 54045
Diversity chunk 233 | processed unique SMILES: 233000/1989633 | new selected: 117 | total selected: 54162
Diversity chunk 234 | processed unique SMILES: 234000/1989633 | new selected: 0 | total selected: 54162
Diversity chunk 235 | processed unique SMILES: 235000/1989633 | new selected: 6 | total selected: 54168
Diversity chunk 236 | processed unique SMILES: 236000/1989633 | new selected: 6 | total selected: 54174
Diversity chunk 237 | processed unique SMILES: 237000/1989633 | new selected: 53 | total selected: 54227
Diversity chunk 238 | processed unique SMILES: 238000/1989633 | new selected: 57 | total selected: 54284
Diversity chunk 239 | processed unique SMILES: 239000/1989633 | new selected: 181 | total selected: 54465
Diversity chunk 240 | processed unique SMILES: 240000/1989633 | new selected: 87 | total selected: 54552
Diversity chunk 241 | processed unique SMILES: 241000/1989633 | new selected: 39 | total selected: 54591
Diversity chunk 242 | processed unique SMILES: 242000/1989633 | new selected: 45 | total selected: 54636
Diversity chunk 243 | processed unique SMILES: 243000/1989633 | new selected: 122 | total selected: 54758
Diversity chunk 244 | processed unique SMILES: 244000/1989633 | new selected: 92 | total selected: 54850
Diversity chunk 245 | processed unique SMILES: 245000/1989633 | new selected: 67 | total selected: 54917
Diversity chunk 246 | processed unique SMILES: 246000/1989633 | new selected: 26 | total selected: 54943
Diversity chunk 247 | processed unique SMILES: 247000/1989633 | new selected: 3 | total selected: 54946
