
================ Toxicity Prediction Run ================
inputFile               : BacillusAnthracis_BasidalinPrecursorDORAnetGenerated_Antibiotic_ARTprediction.csv
ARTresultsDir           : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/Bacillus_anthracis_bestMACAW_allDB/
Input CSV               : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/Bacillus_anthracis_bestMACAW_allDB/BacillusAnthracis_BasidalinPrecursorDORAnetGenerated_Antibiotic_ARTprediction.csv
Output CSV              : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/Bacillus_anthracis_bestMACAW_allDB/BacillusAnthracis_BasidalinPrecursorDORAnetGenerated_Antibiotic_ARTprediction_wToxicity.csv
Checkpoint CSV          : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/Bacillus_anthracis_bestMACAW_allDB/BacillusAnthracis_BasidalinPrecursorDORAnetGenerated_Antibiotic_ARTprediction_wToxicity_checkpoint.csv
selectSMILES            : None
batchSize               : 500
saveEveryBatch          : True
resumeFromCheckpoint    : True
deduplicateSmiles       : True
enableDiversityFilter   : True
similarityThreshold     : 0.75
fingerprintRadius       : 2
fingerprintBits         : 2048
diversityChunkSize      : 1000
saveDiversityFiltered   : True
useCanonicalFiltering   : True
=========================================================

Loaded input dataframe shape: (651810, 8)

Applying chemical diversity filter before ADMET prediction...
Diversity chunk 234 | processed unique SMILES: 234000/651810 | new selected: 0 | total selected: 70201
Diversity chunk 235 | processed unique SMILES: 235000/651810 | new selected: 0 | total selected: 70201
Diversity chunk 236 | processed unique SMILES: 236000/651810 | new selected: 4 | total selected: 70205
Diversity chunk 237 | processed unique SMILES: 237000/651810 | new selected: 247 | total selected: 70452
Diversity chunk 238 | processed unique SMILES: 238000/651810 | new selected: 171 | total selected: 70623
Diversity chunk 239 | processed unique SMILES: 239000/651810 | new selected: 389 | total selected: 71012
Diversity chunk 240 | processed unique SMILES: 240000/651810 | new selected: 82 | total selected: 71094
Diversity chunk 241 | processed unique SMILES: 241000/651810 | new selected: 272 | total selected: 71366
Diversity chunk 242 | processed unique SMILES: 242000/651810 | new selected: 167 | total selected: 71533
Diversity chunk 243 | processed unique SMILES: 243000/651810 | new selected: 89 | total selected: 71622
Diversity chunk 244 | processed unique SMILES: 244000/651810 | new selected: 156 | total selected: 71778
Diversity chunk 245 | processed unique SMILES: 245000/651810 | new selected: 111 | total selected: 71889
Diversity chunk 246 | processed unique SMILES: 246000/651810 | new selected: 117 | total selected: 72006
Diversity chunk 247 | processed unique SMILES: 247000/651810 | new selected: 497 | total selected: 72503
Diversity chunk 248 | processed unique SMILES: 248000/651810 | new selected: 676 | total selected: 73179
Diversity chunk 249 | processed unique SMILES: 249000/651810 | new selected: 580 | total selected: 73759
Diversity chunk 250 | processed unique SMILES: 250000/651810 | new selected: 612 | total selected: 74371
Diversity chunk 251 | processed unique SMILES: 251000/651810 | new selected: 245 | total selected: 74616
